Timestamp,ISOTime,FPS,MemoryMB,CPUPercent,LatencyMS,DataPoints,Status
1762773221087,2025-11-10 11:13:41,62.37,98.73,43.49,55.10,10000,Paused
1762773221187,2025-11-10 11:13:41,59.40,98.70,46.19,42.28,10000,Running
1762773221287,2025-11-10 11:13:41,58.44,102.06,45.57,54.75,10000,Running
1762773221387,2025-11-10 11:13:41,61.25,100.16,45.20,47.42,10000,Running
1762773221487,2025-11-10 11:13:41,62.25,103.14,44.46,56.39,10000,Running
1762773221587,2025-11-10 11:13:41,60.20,97.35,41.92,49.76,10000,Running
1762773221687,2025-11-10 11:13:41,60.34,96.67,46.34,46.40,10000,Running
1762773221787,2025-11-10 11:13:41,58.18,100.99,39.79,54.57,10000,Running
1762773221887,2025-11-10 11:13:41,62.17,99.65,44.63,49.48,10000,Running
1762773221987,2025-11-10 11:13:41,63.77,102.50,50.15,40.89,10000,Running
1762773222087,2025-11-10 11:13:42,58.97,100.48,41.50,55.06,10000,Running
1762773222187,2025-11-10 11:13:42,67.31,98.25,44.86,40.08,10000,Running
1762773222287,2025-11-10 11:13:42,63.53,99.39,45.02,46.07,10000,Running
1762773222387,2025-11-10 11:13:42,64.28,103.53,47.13,43.96,10000,Running
1762773222487,2025-11-10 11:13:42,58.72,102.37,41.78,46.60,10000,Running
1762773222587,2025-11-10 11:13:42,65.24,102.30,50.64,62.15,10000,Running
1762773222687,2025-11-10 11:13:42,59.05,101.89,52.18,58.36,10000,Running
1762773222787,2025-11-10 11:13:42,62.86,100.95,44.35,60.49,10000,Running
1762773222887,2025-11-10 11:13:42,57.84,104.60,40.06,46.52,10000,Running
1762773222987,2025-11-10 11:13:42,62.07,101.93,45.81,56.73,10000,Running
1762773223087,2025-11-10 11:13:43,68.43,103.17,43.90,49.87,10000,Running
1762773223187,2025-11-10 11:13:43,58.03,105.28,41.33,51.74,10000,Running
1762773223287,2025-11-10 11:13:43,65.76,103.39,49.64,51.99,10000,Running
1762773223387,2025-11-10 11:13:43,63.08,101.30,51.67,46.87,10000,Running
1762773223487,2025-11-10 11:13:43,67.21,102.25,44.19,48.94,10000,Running
1762773223587,2025-11-10 11:13:43,65.05,105.20,51.83,49.41,10000,Running
1762773223687,2025-11-10 11:13:43,65.30,102.70,44.58,42.36,10000,Running
1762773223787,2025-11-10 11:13:43,69.02,101.44,50.58,70.66,10000,Running
1762773223887,2025-11-10 11:13:43,65.61,100.34,45.82,61.64,10000,Running
1762773223987,2025-11-10 11:13:43,66.05,103.46,43.10,51.82,10000,Running
1762773224087,2025-11-10 11:13:44,64.28,104.49,36.58,52.16,10000,Running
1762773224187,2025-11-10 11:13:44,63.56,102.14,43.11,53.73,10000,Running
1762773224287,2025-11-10 11:13:44,62.54,100.40,46.06,56.32,10000,Running
1762773224387,2025-11-10 11:13:44,65.92,101.41,42.46,50.18,10000,Running
1762773224487,2025-11-10 11:13:44,62.78,105.81,34.23,52.09,10000,Running
1762773224587,2025-11-10 11:13:44,68.11,104.02,45.49,54.53,10000,Running
1762773224687,2025-11-10 11:13:44,63.15,102.25,40.75,50.22,10000,Running
1762773224787,2025-11-10 11:13:44,65.74,101.43,44.89,58.87,10000,Running
1762773224887,2025-11-10 11:13:44,67.15,102.84,40.98,70.77,10000,Running
1762773224987,2025-11-10 11:13:44,65.55,105.43,40.05,49.85,10000,Running
1762773225087,2025-11-10 11:13:45,71.15,102.24,38.06,61.89,10000,Running
1762773225187,2025-11-10 11:13:45,70.39,103.75,42.64,58.41,10000,Running
1762773225287,2025-11-10 11:13:45,67.71,100.51,43.98,50.95,10000,Running
1762773225387,2025-11-10 11:13:45,66.23,107.94,38.48,51.04,10000,Running
1762773225487,2025-11-10 11:13:45,68.26,101.69,42.68,72.90,10000,Running
1762773225587,2025-11-10 11:13:45,67.45,104.16,46.45,45.85,10000,Running
1762773225687,2025-11-10 11:13:45,70.79,106.48,44.71,58.69,10000,Running
1762773225787,2025-11-10 11:13:45,67.35,103.47,48.21,51.85,10000,Running
1762773225887,2025-11-10 11:13:45,65.05,105.84,42.83,50.18,10000,Running
1762773225987,2025-11-10 11:13:45,65.48,105.54,43.00,72.41,10000,Running
1762773226087,2025-11-10 11:13:46,71.52,107.32,41.54,54.57,10000,Running
1762773226187,2025-11-10 11:13:46,69.24,105.45,36.60,55.29,10000,Running
1762773226287,2025-11-10 11:13:46,65.32,104.54,46.80,67.04,10000,Running
1762773226387,2025-11-10 11:13:46,72.41,106.73,43.50,58.47,10000,Running
1762773226487,2025-11-10 11:13:46,64.39,106.86,37.29,61.49,10000,Running
1762773226587,2025-11-10 11:13:46,73.26,106.31,47.80,55.83,10000,Running
1762773226687,2025-11-10 11:13:46,72.68,105.01,36.55,62.02,10000,Running
1762773226787,2025-11-10 11:13:46,69.24,104.13,32.34,50.61,10000,Running
1762773226887,2025-11-10 11:13:46,65.77,105.88,36.16,61.04,10000,Running
1762773226987,2025-11-10 11:13:46,73.40,107.54,40.42,56.81,10000,Running
1762773227087,2025-11-10 11:13:47,69.84,101.39,46.90,59.13,10000,Running
1762773227187,2025-11-10 11:13:47,69.95,107.52,35.24,64.27,10000,Running
1762773227287,2025-11-10 11:13:47,71.42,107.68,34.07,45.71,10000,Running
1762773227387,2025-11-10 11:13:47,68.36,104.17,38.50,65.16,10000,Running
1762773227487,2025-11-10 11:13:47,63.64,104.98,40.52,74.79,10000,Running
1762773227587,2025-11-10 11:13:47,62.68,107.63,36.21,51.54,10000,Running
1762773227687,2025-11-10 11:13:47,71.75,103.00,34.51,57.37,10000,Running
1762773227787,2025-11-10 11:13:47,76.33,105.66,39.85,50.41,10000,Running
1762773227887,2025-11-10 11:13:47,67.66,105.56,47.06,59.02,10000,Running
1762773227987,2025-11-10 11:13:47,72.85,108.11,37.89,65.31,10000,Running
1762773228087,2025-11-10 11:13:48,70.67,109.25,41.14,38.38,10000,Running
1762773228187,2025-11-10 11:13:48,73.91,106.33,45.27,66.99,10000,Running
1762773228287,2025-11-10 11:13:48,68.36,110.73,39.05,67.56,10000,Running
1762773228387,2025-11-10 11:13:48,72.44,109.87,38.89,64.41,10000,Running
1762773228487,2025-11-10 11:13:48,67.63,114.24,39.14,54.62,10000,Running
1762773228587,2025-11-10 11:13:48,72.84,106.34,30.37,60.95,10000,Running
1762773228687,2025-11-10 11:13:48,73.01,104.79,35.11,54.26,10000,Running
1762773228787,2025-11-10 11:13:48,71.03,106.86,33.36,60.42,10000,Running
1762773228887,2025-11-10 11:13:48,64.89,106.44,34.31,74.38,10000,Running
1762773228987,2025-11-10 11:13:48,73.58,110.08,36.83,66.74,10000,Running
1762773229087,2025-11-10 11:13:49,72.04,105.05,39.71,54.79,10000,Running
1762773229187,2025-11-10 11:13:49,69.52,106.74,40.97,67.86,10000,Running
1762773229287,2025-11-10 11:13:49,73.96,109.08,39.25,68.53,10000,Running
1762773229387,2025-11-10 11:13:49,76.56,107.28,36.02,71.01,10000,Running
1762773229487,2025-11-10 11:13:49,69.91,109.42,34.05,74.75,10000,Running
1762773229587,2025-11-10 11:13:49,67.35,109.54,38.01,73.91,10000,Running
1762773229687,2025-11-10 11:13:49,67.67,109.46,39.18,63.02,10000,Running
1762773229787,2025-11-10 11:13:49,69.65,108.29,41.02,40.09,10000,Running
1762773229887,2025-11-10 11:13:49,72.85,109.03,37.46,59.92,10000,Running
1762773229987,2025-11-10 11:13:49,69.55,109.81,38.10,78.77,10000,Running
1762773230087,2025-11-10 11:13:50,68.53,110.69,34.09,52.87,10000,Running
1762773230187,2025-11-10 11:13:50,71.64,112.44,35.84,65.01,10000,Running
1762773230287,2025-11-10 11:13:50,72.45,108.32,44.29,55.88,10000,Running
1762773230387,2025-11-10 11:13:50,73.24,108.59,34.43,56.68,10000,Running
1762773230487,2025-11-10 11:13:50,70.60,109.83,37.74,73.14,10000,Running
1762773230587,2025-11-10 11:13:50,67.02,112.56,39.91,78.90,10000,Running
1762773230687,2025-11-10 11:13:50,65.54,110.12,38.65,78.45,10000,Running
1762773230787,2025-11-10 11:13:50,69.41,105.93,37.51,68.96,10000,Running
1762773230887,2025-11-10 11:13:50,67.56,111.12,37.69,61.12,10000,Running
1762773230987,2025-11-10 11:13:50,68.61,109.46,34.04,72.89,10000,Running
1762773231087,2025-11-10 11:13:51,72.41,108.58,40.66,76.16,10000,Running
1762773231187,2025-11-10 11:13:51,64.65,108.79,30.64,64.57,10000,Running
1762773231287,2025-11-10 11:13:51,70.27,108.27,33.54,68.88,10000,Running
1762773231387,2025-11-10 11:13:51,70.48,113.25,29.60,68.41,10000,Running
1762773231487,2025-11-10 11:13:51,64.32,112.42,33.30,77.44,10000,Running
1762773231587,2025-11-10 11:13:51,68.07,111.02,35.82,70.94,10000,Running
1762773231687,2025-11-10 11:13:51,66.62,110.19,24.26,66.88,10000,Running
1762773231787,2025-11-10 11:13:51,68.61,108.19,28.05,60.77,10000,Running
1762773231887,2025-11-10 11:13:51,65.79,109.84,33.02,55.59,10000,Running
1762773231987,2025-11-10 11:13:51,63.79,111.82,29.81,58.66,10000,Running
1762773232087,2025-11-10 11:13:52,69.64,112.38,29.58,59.04,10000,Running
1762773232187,2025-11-10 11:13:52,73.24,109.86,34.83,69.94,10000,Running
1762773232287,2025-11-10 11:13:52,64.08,110.53,34.38,61.58,10000,Running
1762773232387,2025-11-10 11:13:52,72.03,110.23,34.47,71.32,10000,Running
1762773232487,2025-11-10 11:13:52,68.62,112.46,41.72,61.74,10000,Running
1762773232587,2025-11-10 11:13:52,62.54,111.57,27.19,80.03,10000,Running
1762773232687,2025-11-10 11:13:52,69.25,110.75,31.24,67.75,10000,Running
1762773232787,2025-11-10 11:13:52,64.51,112.44,33.42,72.27,10000,Running
1762773232887,2025-11-10 11:13:52,65.91,112.60,33.32,69.77,10000,Running
1762773232987,2025-11-10 11:13:52,70.99,108.54,33.47,68.18,10000,Running
1762773233087,2025-11-10 11:13:53,65.73,113.83,33.35,76.07,10000,Running
1762773233187,2025-11-10 11:13:53,69.58,113.51,30.89,59.23,10000,Running
1762773233287,2025-11-10 11:13:53,68.54,110.97,27.55,70.48,10000,Running
1762773233387,2025-11-10 11:13:53,71.29,112.65,22.98,69.39,10000,Running
1762773233487,2025-11-10 11:13:53,69.13,113.49,31.48,41.41,10000,Running
1762773233587,2025-11-10 11:13:53,65.93,108.11,25.76,67.88,10000,Running
1762773233687,2025-11-10 11:13:53,70.51,112.91,40.96,74.90,10000,Running
